"","Prey_grouping","Predator_grouping","LogLikelihood","AIC"
"1","class","class",-122214.047838789,246718.095677578
"2","class","order",-115371.547945353,233289.095890707
"3","class","family",-111521.600950557,226381.201901114
"4","class","genus",-110808.319002668,227410.638005335
"5","class","species",-110642.239213624,232574.478427247
"6","order","class",-102310.393459019,207166.786918038
"7","order","order",-93005.6136486479,190861.227297296
"8","order","family",-86552.8741517111,185083.748303422
"9","order","genus",-84761.7472577329,203605.494515466
"10","order","species",-84378.0166627831,252302.033325566
"11","family","class",-75694.297298831,154726.594597662
"12","family","order",-63374.5955376785,138727.191075357
"13","family","family",-53668.9498597626,146045.899719525
"14","family","genus",-50919.7299408975,223437.459881795
"15","family","species",-50212.3842285252,407512.76845705
"16","genus","class",-58542.4265504914,122878.853100983
"17","genus","order",-41737.1804217113,117556.360843423
"18","genus","family",-26323.3869139877,174244.773827975
"19","genus","genus",-21705.3646565155,436396.729313031
"20","genus","species",-20484.9263161284,1041263.85263226
"21","species","class",-49128.586659782,109547.173319564
"22","species","order",-28464.2407004338,140474.481400868
"23","species","family",-8495.16953121897,324078.339062438
"24","species","genus",-1923.14944482011,1004140.29888964
"25","species","species",0,2551540
