"","Source","Target","auc","aucpr","prevalence","aucprg"
"1","Arctic","Arctic",0.95426848403767,0.322373128959765,0.0274166666666667,0.957250892018886
"2","Arctic","Euro",0.812980712171625,0.18170802639079,0.0449051133942374,0.879543806266681
"3","Arctic","Pyrenees",0.910508912025133,0.158556314195088,0.0214125589425133,0.909905583568973
"4","Arctic","Serengeti2",0.862283950617284,0.222510594392684,0.036281179138322,0.943223389053611
"5","Euro","Arctic",0.901694513016174,0.167648010498043,0.02745,0.860960296551941
"6","Euro","Euro",0.960195321018555,0.466790825734453,0.0449056085352798,0.965317622086217
"7","Euro","Pyrenees",0.890784686352394,0.09206897597754,0.0214125589425133,0.664469248769866
"8","Euro","Serengeti2",0.867963870733479,0.16318662320207,0.036281179138322,0.867911897184295
"9","Pyrenees","Arctic",0.864874022800182,0.220673919319046,0.02745,0.954315828384145
"10","Pyrenees","Euro",0.866650368525913,0.243216510149769,0.0449051133942374,0.905909363674704
"11","Pyrenees","Pyrenees",0.952961146790268,0.276835390667116,0.0213880776498883,0.977364256435939
"12","Pyrenees","Serengeti2",0.848686456063907,0.184982342058434,0.036281179138322,0.922422789344791
"13","Serengeti2","Arctic",0.703218102393395,0.0809010731265134,0.02745,0.809881235602066
"14","Serengeti2","Euro",0.699990831311941,0.094075469903345,0.0449051133942374,0.72368705090434
"15","Serengeti2","Pyrenees",0.801839595017928,0.0862567753164431,0.0214125589425133,0.788841694770747
"16","Serengeti2","Serengeti2",0.888653674742727,0.229336278168879,0.0361041141897565,0.887214272094857
