"","Source","Target","auc","aucprg","prevalence"
"1","arctic","arctic",0.956724106903597,0.976586873422063,0.0274166666666667
"2","arctic","europe",0.835112450950612,0.868853063042413,0.0449051133942374
"3","arctic","pyrenees",0.886059818405304,0.932893427601892,0.0214125589425133
"4","arctic","serengeti",0.744311106103723,0.682387015187909,0.111951803318593
"5","europe","arctic",0.892204820126656,0.908029942496161,0.02745
"6","europe","europe",0.984084876819845,0.994730463582003,0.0449056085352798
"7","europe","pyrenees",0.910351512012878,0.811913859057558,0.0214125589425133
"8","europe","serengeti",0.821646995373809,0.802314308790834,0.111951803318593
"9","pyrenees","arctic",0.877760462772406,0.881165119253906,0.02745
"10","pyrenees","europe",0.863268117419117,0.831394880783843,0.0449051133942374
"11","pyrenees","pyrenees",0.962995667388246,0.96710505170205,0.0213880776498883
"12","pyrenees","serengeti",0.762780477712884,0.633872492156111,0.111951803318593
"13","serengeti","arctic",0.737699486608777,0.72865305430226,0.02745
"14","serengeti","europe",0.811479369582628,0.779430784000816,0.0449051133942374
"15","serengeti","pyrenees",0.692755049332206,0.638495677701147,0.0214125589425133
"16","serengeti","serengeti",0.843533537878089,0.851000814139654,0.111941307728717
